Short Name,Long Name
512,BG+.Oost.180
513,BG+.Oost.190
514,BG+.Oost.210
515,BG+.Oost.700
516,BG+.Oost.710
517,BG+.Oost.800
518,BG+.Oost.801
519,BG+.Oost.802
521,BG+.Oost.810
528,BG+.Oost.865
530,BG+.West.290
531,BG+.West.300
532,BG+.West.310
533,BG+.West.560
534,BG+.West.570
535,BG+.West.620
536,BG+.West.630
537,BG+.West.680
538,BG+.West.814
539,BG+.West.815
540,BG+.West.816
546,BG+.Zuid.100
547,BG+.Zuid.200
552,K1.Mid.010
554,K1.Mid.020
555,K1.Mid.030
556,K1.Mid.040
558,K1.Mid.050
559,K1.Mid.060
560,K1.Mid.070
561,K1.Mid.080
562,K1.Mid.110
563,K1.Mid.130
564,K1.Mid.140
565,K1.Mid.801
567,K1.Mid.804
568,K1.Oost.010
569,K1.Oost.020
570,K1.Oost.050
571,K1.Oost.070
572,K1.Oost.090
573,K1.Oost.110
574,K1.Oost.150
575,K1.Oost.170
576,K1.Oost.210
577,K1.Oost.220
578,K1.Oost.230
579,K1.Oost.240
580,K1.Oost.241
581,K1.Oost.250
582,K1.Oost.251
583,K1.Oost.330
584,K1.Oost.340
585,K1.Oost.350
586,K1.Oost.360
587,K1.Oost.370
588,K1.Oost.380
589,K1.Oost.381
590,K1.Oost.390
591,K1.Oost.400
592,K1.Oost.420
593,K1.Oost.440
594,K1.Oost.510
595,K1.Oost.530
596,K1.Oost.540
598,K1.Oost.560
599,K1.Oost.700
600,K1.Oost.710
601,K1.Oost.720
602,K1.Oost.730
603,K1.Oost.740
604,K1.Oost.760
605,K1.Oost.801
606,K1.Oost.803
608,K1.Oost.805
609,K1.Oost.806
610,K1.Oost.807
612,K1.Oost.852
613,K1.Oost.853
614,K1.Oost.854
615,K1.Oost.855
616,K1.Oost.859
617,K1.West.010
618,K1.West.030
619,K1.West.080
620,K1.West.081
621,K1.West.090
622,K1.West.100
623,K1.West.110
624,K1.West.111
625,K1.West.120
626,K1.West.130
627,K1.West.140
628,K1.West.141
629,K1.West.160
630,K1.West.170
631,K1.West.190
632,K1.West.200
633,K1.West.201
634,K1.West.202
635,K1.West.203
636,K1.West.250
637,K1.West.270
638,K1.West.290
639,K1.West.300
640,K1.West.310
641,K1.West.311
642,K1.West.320
643,K1.West.340
644,K1.West.370
645,K1.West.400
646,K1.West.410
647,K1.West.411
648,K1.West.420
649,K1.West.430
650,K1.West.440
651,K1.West.500
652,K1.West.510
653,K1.West.520
654,K1.West.540
655,K1.West.550
656,K1.West.551
657,K1.West.590
658,K1.West.600
659,K1.West.610
660,K1.West.620
661,K1.West.621
662,K1.West.640
663,K1.West.641
664,K1.West.650
665,K1.West.660
666,K1.West.680
667,K1.West.690
668,K1.West.700
669,K1.West.710
670,K1.West.720
671,K1.West.730
672,K1.West.740
673,K1.West.750
674,K1.West.760
675,K1.West.770
676,K1.West.780
677,K1.West.790
678,K1.West.800
679,K1.West.801
680,K1.West.802
681,K1.West.804
682,K1.West.806
683,K1.West.808
684,K1.West.810
685,K1.West.811
686,K1.West.812
687,K1.West.814
688,K1.West.815
689,K1.West.817
690,K1.West.852
691,K1.West.854
692,K1.West.858
693,K1.West.859
695,K1.West.865
696,K1.Zuid.310
697,K1.Zuid.855
718,805 K0 OOST
721,Room
722,Room
723,Room
724,Room
